City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Prabumulih,ID,2022-06-14 03:54:51,-3.45,104.25,86.4,60,100,4.09
158,Yellowknife,CA,2022-06-14 03:54:51,62.456,-114.3525,59.52,55,20,5.75
159,Cabo San Lucas,MX,2022-06-14 03:45:15,22.8909,-109.9124,90.7,56,0,11.99
160,Dobryanka,RU,2022-06-14 03:54:52,58.4619,56.4165,58.89,56,100,4.43
161,Puebloviejo,CO,2022-06-14 03:54:52,10.9938,-74.2844,77.18,83,40,6.91
162,Hudson Bay,CA,2022-06-14 03:54:53,52.85,-102.3842,60.3,74,100,8.52
163,Mildura,AU,2022-06-14 03:54:53,-34.2,142.15,58.06,65,4,17.22
164,Northam,GB,2022-06-14 03:54:54,51.0333,-4.2167,50.61,91,1,2.59
165,Bac Lieu,VN,2022-06-14 03:54:54,9.285,105.7244,87.13,65,35,7.76
166,Troitskoye,RU,2022-06-14 03:54:54,52.9821,84.6757,76.39,59,78,7.16
167,Port Macquarie,AU,2022-06-14 03:54:55,-31.4333,152.9167,67.89,57,0,7.23
168,Noumea,NC,2022-06-14 03:54:55,-22.2763,166.4572,77.0,99,100,12.5
169,Kavaratti,IN,2022-06-14 03:51:29,10.5669,72.642,83.05,77,88,14.5
170,Lebu,CL,2022-06-14 03:47:41,-37.6167,-73.65,50.05,94,100,14.38
171,Port Moresby,PG,2022-06-14 03:54:56,-9.4431,147.1797,87.22,66,40,11.5
172,Springdale,US,2022-06-14 03:53:15,36.1867,-94.1288,82.56,76,0,8.05
173,Hithadhoo,MV,2022-06-14 03:54:56,-0.6,73.0833,83.26,71,36,6.73
174,Huarmey,PE,2022-06-14 03:54:57,-10.0681,-78.1522,62.89,85,11,10.09
175,Ferrol,ES,2022-06-14 03:54:57,43.4832,-8.2369,65.35,86,11,5.12
176,Te Anau,NZ,2022-06-14 03:52:53,-45.4167,167.7167,40.77,81,65,12.21
177,Baruun-Urt,MN,2022-06-14 03:54:58,46.6806,113.2792,71.49,32,59,9.93
178,Taltal,CL,2022-06-14 03:54:58,-25.4,-70.4833,55.11,85,49,3.02
179,Clyde River,CA,2022-06-14 03:51:41,70.4692,-68.5914,34.03,86,100,4.61
180,Ahipara,NZ,2022-06-14 03:48:57,-35.1667,173.1667,59.68,60,11,13.27
181,Xuddur,SO,2022-06-14 03:54:59,4.1213,43.8894,71.38,73,49,18.61
182,Cafelandia,BR,2022-06-14 03:54:59,-21.8025,-49.61,51.91,79,0,10.47
183,Nelson Bay,AU,2022-06-14 03:52:50,-32.7167,152.15,66.0,61,5,1.99
184,Langsa,ID,2022-06-14 03:55:00,4.4683,97.9683,84.61,73,90,3.04
185,Cayenne,GF,2022-06-14 03:54:17,4.9333,-52.3333,76.08,1,100,2.3
186,Margate,GB,2022-06-14 03:50:11,51.3813,1.3862,53.69,80,6,1.01
187,Fethiye,TR,2022-06-14 03:55:00,36.6217,29.1164,69.67,66,81,2.33
188,Bucerias,MX,2022-06-14 03:54:04,20.75,-105.3333,80.02,74,67,1.66
189,Barrow,US,2022-06-14 03:47:45,71.2906,-156.7887,37.42,75,0,17.27
190,Normandin,CA,2022-06-14 03:55:01,48.8333,-72.5321,57.51,94,16,5.75
