,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Burgersdorp,ZA,-30.9977,26.3286,29.59,86,5,4.27,clear sky
270,Mitu,CO,1.1983,-70.1733,67.77,97,78,0.63,broken clouds
271,Cruzeiro Do Sul,BR,-29.5128,-51.9853,59.5,89,5,2.82,clear sky
272,Souillac,MU,-20.5167,57.5167,71.98,73,20,12.66,few clouds
273,Kimbe,PG,-5.5502,150.1429,88.41,58,68,3.42,broken clouds
274,Teya,RU,60.3778,92.6267,67.33,74,75,3.74,broken clouds
275,Aldergrove,CA,49.058,-122.4709,57.99,87,100,5.75,overcast clouds
276,Provideniya,RU,64.3833,-173.3,39.36,100,100,11.18,fog
277,Pandan,PH,14.0453,124.1694,86.83,65,26,4.52,scattered clouds
278,Amga,RU,60.8953,131.9608,66.45,58,61,7.09,broken clouds
279,Vila,PT,42.0304,-8.1588,61.68,62,88,5.3,overcast clouds
280,Yerbogachen,RU,61.2767,108.0108,70.75,56,19,2.59,few clouds
281,Dravograd,SI,46.5881,15.0192,61.05,95,12,3.62,few clouds
282,Ust-Kuyga,RU,70.0167,135.6,50.05,58,100,12.35,overcast clouds
283,Kaeo,NZ,-35.1,173.7833,61.86,56,30,7.16,scattered clouds
284,Lompoc,US,34.6391,-120.4579,73.85,70,0,24.0,clear sky
285,San Ignacio,BZ,17.1561,-89.0714,77.14,88,40,0.0,scattered clouds
286,Shitanjing,CN,39.2342,106.3439,84.11,9,5,3.44,clear sky
287,Hoima,UG,1.4356,31.3436,65.05,89,100,2.35,overcast clouds
288,Shache,CN,38.4167,77.2406,79.72,23,74,15.46,broken clouds
289,Pochutla,MX,15.7432,-96.4661,73.22,91,100,1.01,overcast clouds
290,Torbay,CA,47.6666,-52.7314,41.88,82,20,6.91,few clouds
291,Lorengau,PG,-2.0226,147.2712,85.41,67,100,9.91,overcast clouds
292,Faanui,PF,-16.4833,-151.75,80.55,71,11,15.9,few clouds
293,Scarborough,GB,54.2797,-0.4044,53.78,89,23,3.06,few clouds
294,Ambon,ID,-3.6954,128.1814,83.23,12,40,3.44,scattered clouds
295,Tres Arroyos,AR,-38.3739,-60.2798,45.18,95,100,4.68,overcast clouds
296,Nago,JP,26.5881,127.9761,75.63,87,100,7.23,moderate rain
297,Chuy,UY,-33.6971,-53.4616,53.06,80,100,5.48,overcast clouds
298,Marrakesh,MA,31.6315,-8.0083,73.47,68,40,6.91,scattered clouds
299,Hamilton,US,39.1834,-84.5333,86.04,69,0,6.91,clear sky
300,Kismayo,SO,-0.3582,42.5454,77.31,85,70,13.31,light rain
301,Salinas,US,36.6777,-121.6555,89.56,52,0,12.66,clear sky
302,Shubarshi,KZ,48.5872,57.1869,67.28,44,99,3.15,overcast clouds
303,San Patricio,US,28.017,-97.5169,86.09,69,100,15.93,overcast clouds
304,Digapahandi,IN,19.3667,84.5833,84.31,73,100,3.85,overcast clouds
305,Corowa,AU,-36.0333,146.3833,53.78,97,100,4.83,overcast clouds
306,Henties Bay,NA,-22.116,14.2845,57.15,73,0,3.4,clear sky
307,Aksu,CN,41.1231,80.2644,79.61,24,100,4.14,overcast clouds
308,Naraini,IN,25.1833,80.4833,86.4,59,100,16.28,overcast clouds
309,Inuvik,CA,68.3499,-133.7218,63.46,29,40,10.36,scattered clouds
310,Nome,US,64.5011,-165.4064,46.17,81,100,10.36,overcast clouds
311,Charters Towers,AU,-20.1,146.2667,72.27,65,25,3.89,scattered clouds
312,Sepuka,TZ,-4.75,34.5333,60.93,75,5,8.43,clear sky
313,Son La,VN,21.3167,103.9,71.67,94,100,1.48,overcast clouds
314,Sola,VU,-13.8833,167.55,80.92,77,99,19.39,overcast clouds
315,Ayna,PE,-12.65,-73.9167,54.54,50,0,4.52,clear sky
316,Half Moon Bay,US,37.4636,-122.4286,79.88,69,100,39.12,mist
317,Khor,RU,47.8861,134.9464,70.81,64,22,4.72,few clouds
318,Guerrero Negro,MX,27.9769,-114.0611,67.78,66,0,18.41,clear sky
319,Nioro,GM,13.35,-15.75,80.1,73,89,9.64,overcast clouds
320,Roald,NO,62.5833,6.1333,56.75,93,40,3.44,light intensity drizzle
321,Zelenoborsk,RU,61.4669,64.0333,59.63,54,8,4.09,clear sky
